songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
PPP,Kevin Roldan,spotify:track:1DcxnVNFAyVl2sDQ646pXS,0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-05,0.122,0.712,92.975,129040,4,5
Celoso,Lele Pons,spotify:track:33zcmmElV1YbRZe57biUjg,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.043,179693,4,1
Culpables,KAROL G,spotify:track:6q8Lb50EtqNeeJXXe8mMAH,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,1
Secreto,Anuel AA,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,5
Hipócrita,Anuel AA,spotify:track:4CbANooTL2aTHzJZqQ0Uvk,0.79,0.858,2,-2.78,1,0.0471,0.303,0.0,0.61,0.79,92.05,192000,4,4
Te Amo,Piso 21,spotify:track:2RVrdr062uLFxXwIxwdXPH,0.849,0.724,5,-4.139,1,0.0665,0.0204,5.98e-06,0.235,0.63,98.005,201122,4,5
Controla,Brytiago,spotify:track:4AKWHLChPxYdXAB2cHmZB7,0.758,0.699,6,-5.636,1,0.171,0.504,0.0,0.0922,0.594,90.013,208000,4,5
Baila Baila Baila,Ozuna,spotify:track:5PXsZaT8cOxb4mXrA20PMQ,0.837,0.626,11,-5.674,0,0.152,0.0588,0.0,0.252,0.592,99.987,158760,4,1
Bubalu,Becky G,spotify:track:7dNwJbsT0sg1le5kVugGJb,0.8,0.355,6,-10.47,0,0.0895,0.616,0.0,0.118,0.253,145.929,228493,4,6
Te Vi,Piso 21,spotify:track:059bcIhyc2SBwm6sw2AZzd,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,5
